"Time / s","Pulse Generator","Iout:Measured current"
0.00032662983764999688,1.25,15.810684921662727
0.00032668467454176678,1.25,15.760487535569382
0.00032673951143353668,1.25,15.709819841856927
0.00032679434832530658,1.25,15.658684575278272
0.00032684918521707647,1.25,15.607084459114674
0.00032690402210884637,1.25,15.555022205175703
0.00032695885900061627,1.25,15.502500513799333
0.00032701369589238616,1.25,15.449522073851853
0.00032706853278415606,1.25,15.396089562727894
0.00032712336967592596,1.25,15.342205646350436
0.00032718052442541064,1.25,15.285566589344853
0.00032723767917489533,1.25,15.228443036677987
0.00032729483392438002,1.25,15.170837967174776
0.0003273519886738647,1.25,15.112754346653929
0.00032740914342334939,1.25,15.054195127927869
0.00032746629817283408,1.25,14.995163250802733
0.00032752345292231876,1.25,14.935661642078543
0.00032758060767180345,1.25,14.875693215548921
0.00032763776242128814,1.25,14.815260872001346
0.00032769491717077283,1.25,14.754367499217039
0.00032775639063150984,1.25,14.688361608601099
0.00032781786409224686,1.25,14.62182927045879
0.00032787933755298393,1.25,14.55477402768966
0.00032794081101372095,1.25,14.487199406514236
0.00032800228447445797,1.25,14.419108916474016
0.00032806375793519499,1.25,14.350506050431534
0.00032812523139593206,1.25,14.281394284570297
0.00032818670485666908,1.25,14.211777078394846
0.00032824817831740609,1.25,14.141657874730697
0.00032830965177814311,1.25,14.071040099724399
0.00032837226974253257,1.25,13.998598519819694
0.00032843488770692208,1.25,13.925646755124006
0.00032849750567131154,1.25,13.852188373589314
0.00032856012363570105,1.25,13.778226925990651
0.00032862274160009051,1.25,13.703765945926122
0.00032868535956448003,1.25,13.628808949816801
0.00032874797752886948,1.25,13.55335943690686
0.000328810595493259,1.25,13.477420889263456
0.00032887321345764846,1.25,13.400996771776832
0.00032893583142203797,1.25,13.32409053216027
0.00032899472994631172,1.25,13.251315494111353
0.00032905362847058546,1.25,13.178119784746002
0.00032909027074171852,1.25,13.132371854996052
0.00032909027074172785,1.25,13.132371854984399
0.0003291451704285352,1.25,13.063887893719311
